,product_Name,product_url,price,rating,review,description,ASIN,manufacturer
103,Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-1,₹669,4.1,"5,534","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack", B08Z1HHHTD, VIP Industries Ltd
104,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-2,"₹1,199",4.0,"55,280",null,null,null
105,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-3,₹599,3.7,"2,464",null,null,null
106,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-4,₹649,3.9,"16,975",null,null,null
107,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-5,₹899,4.3,"6,515",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,null,null
108,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-6,₹849,4.3,"5,607",, B07YDGQQN5, Fur Jaden
109,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-7,₹249,4.1,"9,712",null,null,null
110,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-8,₹849,3.9,"3,451","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", B09VCLZ3K4, Amazing Bags
111,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-9,₹199,3.7,"7,059",,null,null
112,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-10,₹979,4.4,"6,041","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.", B07G4F6XFH, Gear Merchandise PVT LTD
113,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-11,₹588,4.3,"12,365",null,null,null
114,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-12,₹679,4.0,"5,627","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.", B09VTDMRY7, FUR JADEN
115,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-13,₹387,4.3,"7,924","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",null,null
116,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-14,₹499,3.9,"1,155",null,null,null
117,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-15,"₹2,139",4.5,"7,390",,null,null
118,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692714183&sprefix=ba%2Caps%2C283&sr=8-16,"₹1,115",4.3,"6,112",Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape., B075MK4TXP, Gear Merchandise PVT LTD
119,null,null,null,null,null,null,null,null
120,Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-1,₹669,4.1,"5,534","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack", B08Z1HHHTD, VIP Industries Ltd
121,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-2,"₹1,199",4.0,"55,280",null,null,null
122,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-3,₹599,3.7,"2,464",null,null,null
123,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-4,₹649,3.9,"16,975",null,null,null
124,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-5,₹899,4.3,"6,515",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,null,null
125,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-6,₹849,4.3,"5,607",, B07YDGQQN5, Fur Jaden
126,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-7,₹249,4.1,"9,712",null,null,null
127,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-8,₹849,3.9,"3,451","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", B09VCLZ3K4, Amazing Bags
128,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-9,₹199,3.7,"7,059",,null,null
129,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-10,₹979,4.4,"6,041","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.", B07G4F6XFH, Gear Merchandise PVT LTD
130,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-11,₹588,4.3,"12,365",null,null,null
131,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-12,₹387,4.3,"7,924","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",null,null
132,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-13,₹679,4.0,"5,627","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.", B09VTDMRY7, FUR JADEN
133,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-14,₹499,3.9,"1,155",null,null,null
134,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-15,"₹2,139",4.5,"7,390",,null,null
135,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692714258&sprefix=ba%2Caps%2C283&sr=8-16,"₹1,115",4.3,"6,112",Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape., B075MK4TXP, Gear Merchandise PVT LTD
136,null,null,null,null,null,null,null,null
137,Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-1,₹669,4.1,"5,534","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack", B08Z1HHHTD, VIP Industries Ltd
138,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-2,₹599,3.7,"2,464",null,null,null
139,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-3,₹649,3.9,"16,975",null,null,null
140,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-4,"₹1,199",4.0,"55,280",null,null,null
141,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-5,₹849,3.9,"3,451","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", B09VCLZ3K4, Amazing Bags
142,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-6,₹588,4.3,"12,365",null,null,null
143,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-7,₹387,4.3,"7,924","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",null,null
144,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-8,₹679,4.0,"5,627","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.", B09VTDMRY7, FUR JADEN
145,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-9,₹899,4.3,"6,515",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,null,null
146,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-10,"₹2,139",4.5,"7,390",,null,null
147,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-11,₹849,4.3,"5,607",, B07YDGQQN5, Fur Jaden
148,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-12,₹849,3.9,"3,451","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", B0BJ32LQ6X, Amazing Bags
149,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-13,₹599,4.1,"1,614",null,null,null
150,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-14,₹199,3.7,"7,059",,null,null
151,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-15,₹749,4.1,"1,714",Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag, B098QFF5TJ, Wesley
152,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692714318&sprefix=ba%2Caps%2C283&sr=8-16,₹979,4.4,"6,041","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.", B07G4F6XFH, Gear Merchandise PVT LTD
